epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2613.41,0.98513,0.76974,1.15442,0.88552,0.82989,0.90223,0.71084,0.82259,0.55291,1.01738,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2692.85,0.98621,0.77181,1.15205,0.90626,0.81005,0.90084,0.71008,0.81431,0.54972,1.01765,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2770.96,0.98139,0.76499,1.14874,0.90031,0.82696,0.90487,0.71426,0.81434,0.54422,1.01656,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2849.68,0.97594,0.7551,1.14746,0.88576,0.83924,0.90816,0.71885,0.81451,0.53444,1.0155,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2928,0.97486,0.7521,1.14834,0.89692,0.83097,0.90891,0.71838,0.81464,0.53451,1.01428,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3007.46,0.9692,0.74161,1.14053,0.87467,0.84408,0.90802,0.7176,0.81466,0.53738,1.01141,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3087.01,0.96617,0.73733,1.14252,0.9189,0.81092,0.90732,0.71624,0.81196,0.53501,1.01202,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3166.29,0.96679,0.7305,1.14288,0.89805,0.82705,0.90507,0.71724,0.81103,0.53651,1.01165,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3244.26,0.95673,0.72643,1.13572,0.90681,0.81356,0.90333,0.71833,0.80755,0.53299,1.01201,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3325.04,0.95166,0.72442,1.1337,0.90499,0.82154,0.90403,0.71563,0.80697,0.53264,1.0135,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3405.83,0.95853,0.71976,1.133,0.91279,0.82063,0.90451,0.71958,0.80638,0.5254,1.01,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3484.49,0.94806,0.712,1.12964,0.87781,0.84482,0.90419,0.71971,0.80672,0.52341,1.00856,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3564.14,0.93979,0.7002,1.12474,0.89737,0.8283,0.90636,0.72104,0.80954,0.52084,1.00978,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3644.13,0.93624,0.69518,1.12376,0.8968,0.83104,0.90545,0.7208,0.80578,0.52027,1.00683,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
